word1,word2,word2vec,word2vec_5,glove
cash,money,0.57945526,0.5586153,0.6832378
profit,gain,0.4815189,0.454961,0.7105821
global,international,0.5040283,0.59128034,0.692665
house,home,0.61331606,0.63517946,0.7894966
agreement,contract,0.589825,0.56804913,0.73495865
employee,employer,0.7118344,0.7730108,0.88336664
firm,company,0.66027576,0.6113096,0.79406965
income,tax,0.64271927,0.6489016,0.78512037
inventory,stock,0.03999236,0.009712965,0.22028686
